IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,TCP_FLAGS,FLOW_DURATION_MILLISECONDS,Label,Attack,Dataset
149.171.126.0,62073,59.166.0.5,56082,6,0.0,9672,416,11,8,25,15,0,Benign,NF-UNSW-NB15
149.171.126.2,32284,59.166.0.5,1526,6,0.0,1776,104,6,2,25,0,0,Benign,NF-UNSW-NB15
149.171.126.0,21,59.166.0.1,21971,6,1.0,1842,1236,26,22,25,1111,0,Benign,NF-UNSW-NB15
59.166.0.1,23800,149.171.126.0,46893,6,0.0,528,8824,10,12,27,124,0,Benign,NF-UNSW-NB15
59.166.0.5,63062,149.171.126.2,21,6,1.0,1786,2340,32,34,25,1459,0,Benign,NF-UNSW-NB15
59.166.0.5,57349,149.171.126.1,53,17,5.0,146,178,2,2,0,1,0,Benign,NF-UNSW-NB15
59.166.0.3,41660,149.171.126.7,80,6,7.0,690,1272,4,8,25,5,0,Benign,NF-UNSW-NB15
59.166.0.5,29259,149.171.126.0,25,6,3.0,37914,3380,54,42,27,22,0,Benign,NF-UNSW-NB15
59.166.0.6,1813,149.171.126.1,53,17,5.0,130,162,2,2,0,1,0,Benign,NF-UNSW-NB15
59.166.0.2,20139,149.171.126.7,80,6,7.0,690,1272,4,8,25,2,0,Benign,NF-UNSW-NB15
59.166.0.6,54026,149.171.126.5,53,17,5.0,146,178,2,2,0,1,0,Benign,NF-UNSW-NB15
59.166.0.6,48622,149.171.126.3,143,6,4.0,7818,15800,122,126,27,1179,0,Benign,NF-UNSW-NB15
59.166.0.6,1888,149.171.126.9,80,6,7.0,17538,1087890,328,746,27,1139,0,Benign,NF-UNSW-NB15
59.166.0.6,33204,149.171.126.7,53,17,5.0,130,162,2,2,0,0,0,Benign,NF-UNSW-NB15
59.166.0.7,49223,149.171.126.3,5190,6,0.0,1958,2308,22,24,27,7,0,Benign,NF-UNSW-NB15
59.166.0.0,15525,149.171.126.1,80,6,7.0,690,1272,4,8,25,2,0,Benign,NF-UNSW-NB15
59.166.0.7,4507,149.171.126.7,22,6,92.0,3728,5474,32,24,27,6,0,Benign,NF-UNSW-NB15
59.166.0.7,6616,149.171.126.9,53,17,5.0,146,178,2,2,0,1,0,Benign,NF-UNSW-NB15
59.166.0.3,39872,149.171.126.5,5190,6,0.0,1920,4312,22,24,27,7,0,Benign,NF-UNSW-NB15
59.166.0.1,60550,149.171.126.0,34044,6,0.0,8928,320,14,6,27,423,0,Benign,NF-UNSW-NB15
59.166.0.5,20850,149.171.126.2,60046,6,0.0,424,8824,8,12,27,456,0,Benign,NF-UNSW-NB15
59.166.0.1,14055,149.171.126.1,26175,17,11.0,544,304,4,4,0,1,0,Benign,NF-UNSW-NB15
59.166.0.1,12607,149.171.126.1,111,17,11.0,568,304,4,4,0,4,0,Benign,NF-UNSW-NB15
59.166.0.1,34713,149.171.126.1,35373,6,11.0,3936,2456,18,18,27,4,0,Benign,NF-UNSW-NB15
59.166.0.7,8379,149.171.126.0,25,6,3.0,37152,3380,52,42,27,362,0,Benign,NF-UNSW-NB15
59.166.0.7,34880,149.171.126.8,15052,6,36.0,2230,13500,34,36,27,11,0,Benign,NF-UNSW-NB15
59.166.0.7,34418,149.171.126.6,40633,6,36.0,4862,75600,84,86,27,45,0,Benign,NF-UNSW-NB15
59.166.0.5,21743,149.171.126.2,53706,6,0.0,8928,424,14,8,27,47,0,Benign,NF-UNSW-NB15
59.166.0.0,17689,149.171.126.3,53,17,5.0,146,178,2,2,0,1,0,Benign,NF-UNSW-NB15
175.45.176.1,43025,149.171.126.16,25,6,3.0,41290,2080,48,24,27,803,1,Exploits,NF-UNSW-NB15
59.166.0.2,62984,149.171.126.1,5190,6,0.0,1958,2308,22,24,27,139,0,Benign,NF-UNSW-NB15
59.166.0.7,39068,149.171.126.7,22,6,92.0,12752,13202,128,124,27,582,0,Benign,NF-UNSW-NB15
59.166.0.6,46369,149.171.126.3,143,6,4.0,7814,14990,122,126,27,1438,0,Benign,NF-UNSW-NB15
59.166.0.0,19357,149.171.126.3,80,6,7.0,1580,10168,12,18,27,1005,0,Benign,NF-UNSW-NB15
59.166.0.7,17781,149.171.126.0,53,17,5.0,146,178,2,2,0,1,0,Benign,NF-UNSW-NB15
59.166.0.6,1397,149.171.126.8,53,17,5.0,146,178,2,2,0,1,0,Benign,NF-UNSW-NB15
59.166.0.7,1139,149.171.126.8,25,6,3.0,37152,3172,52,38,27,177,0,Benign,NF-UNSW-NB15
59.166.0.5,24796,149.171.126.5,34203,17,11.0,544,304,4,4,0,1,0,Benign,NF-UNSW-NB15
59.166.0.5,59169,149.171.126.5,111,17,11.0,568,304,4,4,0,4,0,Benign,NF-UNSW-NB15
59.166.0.5,26128,149.171.126.5,24606,6,11.0,3936,2456,18,18,27,4,0,Benign,NF-UNSW-NB15
175.45.176.3,64923,149.171.126.17,80,6,7.0,994,256,10,6,19,189,1,Exploits,NF-UNSW-NB15
59.166.0.9,23706,149.171.126.1,55652,6,36.0,2230,13500,34,36,27,7,0,Benign,NF-UNSW-NB15
59.166.0.9,61333,149.171.126.9,23297,6,36.0,4862,75600,84,86,27,35,0,Benign,NF-UNSW-NB15
59.166.0.3,26283,149.171.126.7,61158,6,36.0,3806,54798,64,66,27,26,0,Benign,NF-UNSW-NB15
59.166.0.3,57644,149.171.126.6,55550,6,36.0,3614,45696,60,62,27,22,0,Benign,NF-UNSW-NB15
59.166.0.6,21517,149.171.126.4,80,6,7.0,1684,10168,14,18,27,1021,0,Benign,NF-UNSW-NB15
59.166.0.7,58091,149.171.126.8,27765,17,11.0,544,304,4,4,0,1,0,Benign,NF-UNSW-NB15
59.166.0.7,27054,149.171.126.8,111,17,11.0,568,304,4,4,0,4,0,Benign,NF-UNSW-NB15
59.166.0.6,31362,149.171.126.5,53,17,5.0,132,164,2,2,0,1,0,Benign,NF-UNSW-NB15
59.166.0.6,52900,149.171.126.1,80,6,7.0,1048,824,8,10,27,3,0,Benign,NF-UNSW-NB15
59.166.0.4,30580,149.171.126.1,56973,17,11.0,544,304,4,4,0,66,0,Benign,NF-UNSW-NB15
59.166.0.4,56885,149.171.126.1,111,17,11.0,568,304,4,4,0,176,0,Benign,NF-UNSW-NB15
59.166.0.5,48436,149.171.126.7,22,6,92.0,3728,5474,32,24,27,9,0,Benign,NF-UNSW-NB15
59.166.0.5,49597,149.171.126.6,5190,6,0.0,1958,2308,22,24,27,8,0,Benign,NF-UNSW-NB15
59.166.0.0,47007,149.171.126.9,22,6,92.0,3728,5474,32,24,27,7,0,Benign,NF-UNSW-NB15
59.166.0.7,57146,149.171.126.8,57910,6,11.0,4456,2976,28,28,27,504,0,Benign,NF-UNSW-NB15
59.166.0.2,8137,149.171.126.5,53,17,5.0,146,178,2,2,0,0,0,Benign,NF-UNSW-NB15
59.166.0.2,9941,149.171.126.4,25,6,3.0,37914,3380,54,42,27,55,0,Benign,NF-UNSW-NB15
59.166.0.6,39424,149.171.126.7,5190,6,0.0,2062,2308,24,24,27,6,0,Benign,NF-UNSW-NB15
59.166.0.4,31601,149.171.126.1,30397,6,11.0,4456,3080,28,30,27,574,0,Benign,NF-UNSW-NB15
59.166.0.1,44412,149.171.126.3,50889,17,11.0,544,304,4,4,0,72,0,Benign,NF-UNSW-NB15
59.166.0.1,6953,149.171.126.3,111,17,11.0,568,304,4,4,0,301,0,Benign,NF-UNSW-NB15
59.166.0.1,35001,149.171.126.3,53,17,5.0,146,178,2,2,0,1,0,Benign,NF-UNSW-NB15
59.166.0.3,11441,149.171.126.8,22,6,92.0,3728,5578,32,26,27,120,0,Benign,NF-UNSW-NB15
59.166.0.8,15832,149.171.126.9,36359,6,36.0,2230,13500,34,36,27,7,0,Benign,NF-UNSW-NB15
59.166.0.8,63578,149.171.126.6,37009,6,36.0,4966,75600,86,86,27,58,0,Benign,NF-UNSW-NB15
59.166.0.3,58944,149.171.126.5,5190,6,0.0,1958,2308,22,24,27,8,0,Benign,NF-UNSW-NB15
175.45.176.3,9022,149.171.126.13,111,6,11.0,552,336,10,8,19,678,1,Reconnaissance,NF-UNSW-NB15
59.166.0.9,37626,149.171.126.2,9417,17,11.0,544,304,4,4,0,184,0,Benign,NF-UNSW-NB15
59.166.0.1,9618,149.171.126.3,8394,6,11.0,4456,3080,28,30,27,441,0,Benign,NF-UNSW-NB15
59.166.0.0,1764,149.171.126.0,53,17,5.0,146,178,2,2,0,1,0,Benign,NF-UNSW-NB15
59.166.0.0,21977,149.171.126.4,25,6,3.0,37914,3380,54,42,27,29,0,Benign,NF-UNSW-NB15
59.166.0.9,14708,149.171.126.2,111,17,11.0,568,304,4,4,0,272,0,Benign,NF-UNSW-NB15
59.166.0.9,21040,149.171.126.2,17299,6,36.0,3806,54798,64,66,27,37,0,Benign,NF-UNSW-NB15
59.166.0.9,22644,149.171.126.9,64730,6,36.0,3718,45696,62,62,27,34,0,Benign,NF-UNSW-NB15
59.166.0.8,23777,149.171.126.2,53,17,5.0,146,178,2,2,0,1,0,Benign,NF-UNSW-NB15
59.166.0.6,61596,149.171.126.2,60322,6,36.0,3806,54798,64,66,27,43,0,Benign,NF-UNSW-NB15
59.166.0.6,25232,149.171.126.7,59205,6,36.0,3614,45696,60,62,27,38,0,Benign,NF-UNSW-NB15
10.40.85.10,0,192.168.241.50,0,1,81.0,168,0,2,0,0,0,0,Benign,NF-UNSW-NB15
59.166.0.9,36521,149.171.126.2,15943,6,11.0,4456,3080,28,30,27,378,0,Benign,NF-UNSW-NB15
59.166.0.1,27012,149.171.126.4,53,17,5.0,146,178,2,2,0,1,0,Benign,NF-UNSW-NB15
59.166.0.1,52095,149.171.126.6,60874,17,11.0,544,304,4,4,0,27,0,Benign,NF-UNSW-NB15
59.166.0.1,28960,149.171.126.6,111,17,11.0,568,304,4,4,0,56,0,Benign,NF-UNSW-NB15
59.166.0.9,50852,149.171.126.5,50981,6,36.0,2230,13500,34,36,27,10,0,Benign,NF-UNSW-NB15
59.166.0.1,34736,149.171.126.1,80,6,7.0,1684,10168,14,18,27,1010,0,Benign,NF-UNSW-NB15
59.166.0.9,52706,149.171.126.8,30987,6,36.0,4862,75600,84,86,27,60,0,Benign,NF-UNSW-NB15
59.166.0.5,33095,149.171.126.1,53,17,5.0,146,178,2,2,0,0,0,Benign,NF-UNSW-NB15
59.166.0.8,25526,149.171.126.6,25,6,3.0,37914,3484,54,44,27,556,0,Benign,NF-UNSW-NB15
59.166.0.2,1715,149.171.126.1,53,17,5.0,130,162,2,2,0,1,0,Benign,NF-UNSW-NB15
59.166.0.2,3524,149.171.126.0,143,6,4.0,7814,14990,122,126,27,38,0,Benign,NF-UNSW-NB15
59.166.0.1,39238,149.171.126.1,22,6,92.0,3728,5474,32,24,27,7,0,Benign,NF-UNSW-NB15
59.166.0.1,31688,149.171.126.6,30411,6,11.0,4456,3080,28,30,27,379,0,Benign,NF-UNSW-NB15
59.166.0.2,5612,149.171.126.6,53,17,5.0,146,178,2,2,0,1,0,Benign,NF-UNSW-NB15
175.45.176.3,1752,149.171.126.10,25,6,3.0,3022,1636,20,20,19,789,1,DoS,NF-UNSW-NB15
59.166.0.2,42751,149.171.126.8,53,17,5.0,146,178,2,2,0,1,0,Benign,NF-UNSW-NB15
59.166.0.6,44593,149.171.126.1,53,17,5.0,146,178,2,2,0,0,0,Benign,NF-UNSW-NB15
59.166.0.4,39869,149.171.126.9,53,17,5.0,130,162,2,2,0,1,0,Benign,NF-UNSW-NB15
59.166.0.5,2039,149.171.126.3,25,6,3.0,37914,3380,54,42,27,672,0,Benign,NF-UNSW-NB15
59.166.0.7,12538,149.171.126.7,53,17,5.0,146,178,2,2,0,1,0,Benign,NF-UNSW-NB15